Temperature,Leipzig,Leipzig_errorbar,Limassol,Limassol_errorbar,Punta-Arenas,Punta-Arenas_errorbar
-37.5,,0.0,,0.0,,0.09229618630166093
-32.5,,0.07978559231302819,1.0,0.0,0.9666381522668948,0.059286088431625354
-27.5,1.0,0.06499230723708768,1.0,0.036344694923159886,0.960348162475822,0.04990991885387112
-22.5,1.0,0.0,0.9400090211998195,0.04867036741923191,0.796594982078853,0.051844587333152004
-17.5,0.9791666666666666,0.01801577070206772,0.9242843951985226,0.04873397172404484,0.8909178279673234,0.05152434938459199
-13.5,1.0,0.025699580240322643,0.8809148264984227,0.07984359711335656,0.6608478802992519,0.05761302746414258
-10.75,0.6683937823834197,0.038646007330216364,0.6506963788300836,0.0855816496101822,0.13949104618284638,0.04904204712860897
-8.25,0.6300597213005972,0.03939177921554382,0.468586387434555,0.08821554523934542,0.0971843778383288,0.0441829491885296
-5.75,0.5410779696493982,0.036138543515090805,0.4148527528809219,0.07606348725472867,,0.03473252609343265
-3.25,0.11608927381745503,0.027087827821606507,0.33208800332088,0.05764678037238103,0.055020632737276476,0.027581629410239894
-0.75,0.010743061772605193,0.010555403342697655,0.0,0.029080373606172646,,0.024368101769939195
